Item Code,Item Description,Strength,Dosage Form,Category
FD609300,Ciprofloxacin 5mcl (microlitre) discs,1,NA,Miscellaneous items
FD609400,Cleaning solution for Nova 5,1,NA,Miscellaneous items
FD609500,Cloxacillin discs 5mcg,1,NA,Miscellaneous items
FD609600,Conditioning reagent for sodium (Na+) for NOVA 5,1,NA,Miscellaneous items
FD609700,Cotrimoxazole disc 25mcg,1,NA,Miscellaneous items
FD609800,Coulter 4C - ES cell control,1,NA,Miscellaneous items
FD609900,Coulter clenz,1,NA,Miscellaneous items
FD610000,Creatinine test kit-Human,1,NA,Miscellaneous items
FD610100,Cross Match stickerLabel (Government print),1,NA,Miscellaneous items
FD610200,Cryptococus Latex antigen test,1,NA,Miscellaneous items
FD610300,Crystal violet powder,1,NA,Miscellaneous items
FD610400,"Culture swabs, sterile with hard plastic container with cap",1,NA,Miscellaneous items
FD610500,DBS filter grade 903,1,NA,Miscellaneous items
FD610600,Doxycycline 30mg discs,1,NA,Miscellaneous items
FD610700,Epics antibody,1,NA,Miscellaneous items
FD610800,Epics blue tubes,1,NA,Miscellaneous items
FD610900,Epics clenz,1,NA,Miscellaneous items
FD611000,Epics controls-Low,1,NA,Miscellaneous items
FD611100,Epics controls-Normal,1,NA,Miscellaneous items
FD611200,Epics flow check,1,NA,Miscellaneous items
FD611300,Epics flow count,1,NA,Miscellaneous items
FD611400,Epics flow sheath,1,NA,Miscellaneous items
FD611500,Epics TQ preparation reagent,1,NA,Miscellaneous items
FD611600,Erythromycin discs,1,NA,Miscellaneous items
FD611700,"Facs count Clean , 5L (Ref. 340345)",1,NA,Miscellaneous items
FD611800,Facs count control. 25 tests (Ref. 340166),1,NA,Miscellaneous items
FD611900,"Facs Count reagents, 50tests (Ref. 340167)",1,NA,Miscellaneous items
FD612000,"Facs count Rinse, 5L (Ref. 340346)",1,NA,Miscellaneous items
FD612100,FACSCOUNT Paper thermal,1,NA,Miscellaneous items
FD612200,Fine point permanent marker,1,NA,Miscellaneous items
FD612300,Fluorescent Microscope Spare bulbs Model BX 41 TF,1,NA,Miscellaneous items
FD612400,Fluorescent Microscope Spare bulbs ModelL2 Osra Mercury,1,NA,Miscellaneous items
FD612500,Fluorescent microscope square bulbs 100W,1,NA,Miscellaneous items
FD612600,Fluorescent microscope square bulbs 50W,1,NA,Miscellaneous items
FD612700,Funnel (Plastic),1,NA,Miscellaneous items
FD612800,Gas generating kit,1,NA,Miscellaneous items
FD612900,Gentamicin 10mcg (microgram) discs,1,NA,Miscellaneous items
FD613000,Glucose (GOD) test kit HUMAN,1,NA,Miscellaneous items
FD613100,Glucose (GOD/PAP)HUMAN,1,NA,Miscellaneous items
FD613200,Gram's A fluid,1,NA,Miscellaneous items
FD613300,Gram's Iodine,1,NA,Miscellaneous items
FD613400,HaemaCue Cleaner,1,NA,Miscellaneous items
FD613500,Haemacue control micro- cuvettes,1,NA,Miscellaneous items
FD613600,Haemacue Hb 201+ - cuvettes,1,NA,Miscellaneous items
FD613700,HaemaCue Hb 201+ Machine,1,NA,Miscellaneous items
FD613800,"Hemostat control plasma N,1ml",1,NA,Miscellaneous items
FD613900,"Hemostat control plasma P,1ml",1,NA,Miscellaneous items
FD614000,Hepatitis B test kit-Dertemine,1,NA,Miscellaneous items
FD614100,Hepatitis C test kit,1,NA,Miscellaneous items
FD614200,Humastar 180 acid phosphatase,1,NA,Miscellaneous items
FD614300,Humastar 180 albumin,1,NA,Miscellaneous items
FD614400,Humastar 180 alkaline phosphatase,1,NA,Miscellaneous items
FD614500,Humastar 180 alpha amylase,1,NA,Miscellaneous items
FD614600,Humastar 180 autocalibrator,1,NA,Miscellaneous items
FD614700,Humastar 180 bilirubin total and direct,1,NA,Miscellaneous items
FD614800,Humastar 180 cholesterol,1,NA,Miscellaneous items
FD614900,Humastar 180 GGT,1,NA,Miscellaneous items
FD615000,Humastar 180 glucose,1,NA,Miscellaneous items
FD615100,Humastar 180 Pancrease-amylase,1,NA,Miscellaneous items
FD615200,Humastar 180 Serum caps,1,NA,Miscellaneous items
FD615300,Humastar 180 SGOT (ALT),1,NA,Miscellaneous items
FD615400,Humastar 180 SGPT (AST),1,NA,Miscellaneous items
FD615500,Humastar 180 total bilirubin,1,NA,Miscellaneous items
FD615600,Humastar 180 Total protein,1,NA,Miscellaneous items
FD615700,Humastar 180 Trygericerides,1,NA,Miscellaneous items
FD615800,Humastar 180 Urea,1,NA,Miscellaneous items
FD615900,Humastar 180 Uric acid,1,NA,Miscellaneous items
FD616000,Humastar 180 wash additive,1,NA,Miscellaneous items
FD616100,"Humatrol N,5ml",1,NA,Miscellaneous items
FD616200,"Humatrol P,5ml",1,NA,Miscellaneous items
FD616300,Identidisc (optochin),1,NA,Miscellaneous items
FD616400,Immuno Control TM Cells Beckman CoulterLow,1,NA,Miscellaneous items
FD616500,Immuno Control TM Cells Beckman Coulter Normal,1,NA,Miscellaneous items
FD616600,keylab amylase,1,NA,Miscellaneous items
FD616700,keylab bilirubin direct,1,NA,Miscellaneous items
FD616800,keylab bilirubin total,1,NA,Miscellaneous items
FD616900,keylab carroussel,1,NA,Miscellaneous items
FD617000,keylab cholesterol,1,NA,Miscellaneous items
FD617100,keylab Chrolide,1,NA,Miscellaneous items
FD617200,keylab CK MB,1,NA,Miscellaneous items
FD617300,keylab Control normal,1,NA,Miscellaneous items
FD617400,keylab control pathological,1,NA,Miscellaneous items
FD617500,keylab extra cleaning,1,NA,Miscellaneous items
FD617600,keylab GGT,1,NA,Miscellaneous items
FD617700,keylab Glucose,1,NA,Miscellaneous items
FD617800,keylab GOT,1,NA,Miscellaneous items
FD617900,keylab GPT,1,NA,Miscellaneous items
FD618000,keylab IPO cleaning,1,NA,Miscellaneous items
FD618100,keylab pierced pressure cups,1,NA,Miscellaneous items
FD618200,keylab potassium,1,NA,Miscellaneous items
FD618300,keylab Sodium,1,NA,Miscellaneous items
FD618400,keylab Total protein,1,NA,Miscellaneous items
FD618500,keylab Triglyceride,1,NA,Miscellaneous items
FD618600,KEYLAB uric acid,1,NA,Miscellaneous items
FD618700,keylab waste tank,1,NA,Miscellaneous items
FD618800,keylabserum cups,1,NA,Miscellaneous items
FD618900,Kovac's reagent,1,NA,Miscellaneous items
FD619000,Laboratory Digital timer,1,NA,Miscellaneous items
FD619100,LaboratoryLighter,1,NA,Miscellaneous items
FD619200,"Leishman's buffer ampoules, 10 ml",1,NA,Miscellaneous items
FD619300,Lens cleaning tissue,1,NA,Miscellaneous items
FD619400,Liquid fuel burners,1,NA,Miscellaneous items
FD619500,Magnetic spinning bar,1,NA,Miscellaneous items
FD619600,Malachite green dry,1,NA,Miscellaneous items
FD619700,Methylene blue dry,1,NA,Miscellaneous items
FD619800,Metronidazole 50mcg discs,1,NA,Miscellaneous items
FD619900,Microscope cover slip 22mm x 22mm,1,NA,Miscellaneous items
FD620000,Microscope cover slip 22mm x 45mm,1,NA,Miscellaneous items
FD620100,Microtome blades,1,NA,Miscellaneous items
FD620200,Mindray BC 5500 M50 Cleanset,1,NA,Miscellaneous items
FD620300,Mindray BC 5500 M50LBALyse,1,NA,Miscellaneous items
FD620400,Mindray BC 5500 M50LEO 1Lyse,1,NA,Miscellaneous items
FD620500,Mindray BC 5500 M50LEO 2Lyse,1,NA,Miscellaneous items
FD620600,Mindray BC 5500 M50LHLyse,1,NA,Miscellaneous items
FD620700,Mindray BC 5500 M50P Probe cleanser,1,NA,Miscellaneous items
FD620800,Minotrol TM-16,1,NA,Miscellaneous items
FD620900,Monocontainers 4oz (50g) red top,1,NA,Miscellaneous items
FD621000,Nalidixic acid discs,1,NA,Miscellaneous items
FD621100,New Brilliant CrystalBlue,1,NA,Miscellaneous items
FD621200,Nitrofurantoin 300mcg discs,1,NA,Miscellaneous items
FD621300,Norfloxacin disc 5mcg discs,1,NA,Miscellaneous items
FD621400,Norfloxacin disc 5mg,1,NA,Miscellaneous items
FD621500,Nova 5 electrode (air),1,NA,Miscellaneous items
FD621600,Nova 5 fluid pack,1,NA,Miscellaneous items
FD621700,Nova Electrode Spacer,1,NA,Miscellaneous items
FD621800,Nova Replacement SLine,1,NA,Miscellaneous items
FD621900,Novobiocin 5mg discs,1,NA,Miscellaneous items
FD622000,Novobiocin disc 5mg,1,NA,Miscellaneous items
FD622100,Oil immersion (cedarwood),1,NA,Miscellaneous items
FD622200,Optochin disc,1,NA,Miscellaneous items
FD622300,Oxacillin disc,1,NA,Miscellaneous items
FD622400,Oxacillin discs 1mcg,1,NA,Miscellaneous items
FD622500,Oxidase strip reagent,1,NA,Miscellaneous items
FD622600,Paper filter Whatman no.1 size 15cm,1,NA,Miscellaneous items
FD622700,Paper filter Whatman no.1 size 24cm,1,NA,Miscellaneous items
FD622800,Parafilm,1,NA,Miscellaneous items
FD622900,Penicillin disc,1,NA,Miscellaneous items
FD623000,Penicillin G 1 unit disc,1,NA,Miscellaneous items
FD623100,"Petri dishes, disposable",1,NA,Miscellaneous items
FD623200,Phenol crystals,1,NA,Miscellaneous items
FD623300,Phosphorus test kit-Human,1,NA,Miscellaneous items
FD623400,Pipette tips 200-1000mcl (microlitre),1,NA,Miscellaneous items
FD623500,Pipette tips 5-200mcl (microlitre),1,NA,Miscellaneous items
FD623600,"Pipette, pasteur plastic disposable 3ml",1,NA,Miscellaneous items
FD623601,"Pipette,pasteur plastic disposable 3ml",1,NA,Miscellaneous items
FD623700,Potassium (K+) electrode for Nova 5,1,NA,Miscellaneous items
FD623800,Potassium permanganate,1,NA,Miscellaneous items
FD623900,Powder Free Gloves (Large),1,NA,Miscellaneous items
FD624000,Powder Free Gloves (Medium),1,NA,Miscellaneous items
FD624100,Powder Free Gloves (Small),1,NA,Miscellaneous items
FD624200,Pregnancy slide test kit,1,NA,Miscellaneous items
FD624300,Rack for Westergreen ESR to take 6 tubes,1,NA,Miscellaneous items
FD624400,Rapid Diagnostic Test kit Malaria Bioline,1,NA,Miscellaneous items
FD624500,Rectangular hotplate,1,NA,Miscellaneous items
FD624600,RedLitmus,1,NA,Miscellaneous items
FD624700,Reference electrode for Nova 5,1,NA,Miscellaneous items
FD624800,Rheumatoid factor test kit,1,NA,Miscellaneous items
FD624900,"Sodium (Na+) electrode for Nova 5,",1,NA,Miscellaneous items
FD625000,Sodium dithionite powder,1,NA,Miscellaneous items
FD625100,Sodium metabsulphote powder,1,NA,Miscellaneous items
FD625200,Spare bulbs (6v/30w/G4),1,NA,Miscellaneous items
FD625300,SpiritLamps,1,NA,Miscellaneous items
FD625400,Sulphuric acid,1,NA,Miscellaneous items
FD625500,Thermal printer paper for FACS Count Machine,1,NA,Miscellaneous items
FD625600,Thermal printer paper for Humalyzer 3000,1,NA,Miscellaneous items
FD625700,Thermal printer paper for Key -lab,1,NA,Miscellaneous items
FD625800,Tobramycin 10mcg (microgram) discs,1,NA,Miscellaneous items
FD625900,Total Protein test kit-Human,1,NA,Miscellaneous items
FD626000,Toulene,1,NA,Miscellaneous items
FD626100,Trichloroacetic acid crystals,1,NA,Miscellaneous items
FD626200,Triglycerides test kit - Human,1,NA,Miscellaneous items
FD626300,Triple sugar iron agar (TSI),1,NA,Miscellaneous items
FD626400,Trisodium Phosphate,1,NA,Miscellaneous items
FD626500,Tube capillary (EDTA k3),1,NA,Miscellaneous items
FD626600,Tube capillary heparinised,1,NA,Miscellaneous items
FD626700,Tube capillary plain,1,NA,Miscellaneous items
FD626800,Urea Crystals,1,NA,Miscellaneous items
FD626900,Urea Solution 40%,1,NA,Miscellaneous items
FD627000,Urea test ki-Human 100ml,1,NA,Miscellaneous items
FD627100,Uric acid test kit-Humanl,1,NA,Miscellaneous items
FD627200,"Vacutainer 10ml, plain glass",1,NA,Miscellaneous items
FD627300,vacutainer needle holder,1,NA,Miscellaneous items
FD627400,white saponin,1,NA,Miscellaneous items
FD627500,"Wire, microme inoculationLoop",1,NA,Miscellaneous items
FD627600,Wooden applicator sticks,1,NA,Miscellaneous items
FD627700,X factor discs,1,NA,Miscellaneous items
FD627800,XV factor discs,1,NA,Miscellaneous items
FD627900,Xylene,1,NA,Miscellaneous items
FD628000,"Albumin test kit (HUMAN), 1,000ml",1,NA,Miscellaneous items
FD628100,Alkaline phosphatase test kit -HUMAN,1,NA,Miscellaneous items
FD628200,"Amoxycillin disc 35mcg, pack 50",1,NA,Miscellaneous items
FD628300,"Ampicillin disc 10mcg, pack 50",1,NA,Miscellaneous items
FD628400,"Amylase test kit, 5ml-HUMAN",1,NA,Miscellaneous items
FD628500,Anti - streptolysin (ASOT) test kit,1,NA,Miscellaneous items
FD628600,"Anti-human globulin (Coombs' test), 10ml",1,NA,Miscellaneous items
FD628700,"Bacitracin 0.04 units, discs",1,NA,Miscellaneous items
FD628800,"Bacitracin 0.1 units, discs",1,NA,Miscellaneous items
FD628900,"Bactec Standard areobic / culture, Adult, 40ml",1,NA,Miscellaneous items
FD629000,Bilirubin total and direct test -HUMAN,1,NA,Miscellaneous items
FD629100,"Blood grouping serum Anti-D IgG 10ml, Monoclonal",1,NA,Miscellaneous items
FD629200,"Calcium test kit-HUMAN, 50ml",1,NA,Miscellaneous items
FD629300,"Cefotaxime 30mcg discs, pack 50",1,NA,Miscellaneous items
FD629400,"Cefuroxime 30mcg discs, pack 50",1,NA,Miscellaneous items
FD629500,Cephalexin 30mg discs,1,NA,Miscellaneous items
FD629600,Chloramphenicol discs,1,NA,Miscellaneous items
FD629700,"Cholesterol test kit-HUMAN, 250ml",1,NA,Miscellaneous items
FD629800,Ciprofloxacin 5mcl (microlitre) discs,1,NA,Miscellaneous items
FD629900,"Cleaning solution for Nova 5, 100ml",1,NA,Miscellaneous items
FD630000,Cloxacillin discs 5mcg,1,NA,Miscellaneous items
FD630100,"Conditioning reagent for sodium (Na+) for NOVA 5, 100ml",1,NA,Miscellaneous items
FD630200,Cotrimoxazole disc 25mcg,1,NA,Miscellaneous items
FD630300,Coulter 4C - ES cell control,1,NA,Miscellaneous items
FD630400,"Coulter clenz, 5L",1,NA,Miscellaneous items
FD630500,"Doxycycline 30mg discs, pack",1,NA,Miscellaneous items
FD630600,"Erythromycin discs, pack",1,NA,Miscellaneous items
FD630700,"Facs count Clean , 5L (Ref. 340345), 5L",1,NA,Miscellaneous items
FD630800,Facs count control. 25 tests (Ref. 340166),1,NA,Miscellaneous items
FD630900,"Facs Count reagents, 50tests (Ref. 340167)",1,NA,Miscellaneous items
FD631000,"Facs count Rinse, 5L (Ref. 340346), 5L",1,NA,Miscellaneous items
FD631100,Gentamicin 10mcg (microgram) discs,1,NA,Miscellaneous items
FD631200,"Glucose (GOD) test kit HUMAN, 100ml",1,NA,Miscellaneous items
FD631300,"Glucose (GOD/PAP)HUMAN, 1000ml",1,NA,Miscellaneous items
FD631400,"Hemostat control plasma N,1ml",1,NA,Miscellaneous items
FD631500,"Hemostat control plasma P,1ml",1,NA,Miscellaneous items
FD631600,"Humastar 180 acid phosphatase, 15ml",1,NA,Miscellaneous items
FD631700,"Humastar 180 albumin, 100ml",1,NA,Miscellaneous items
FD631800,"Humastar 180 alkaline phosphatase, 10ml",1,NA,Miscellaneous items
FD631900,"Humastar 180 alpha amylase, 10ml",1,NA,Miscellaneous items
FD632000,"Humastar 180 autocalibrator, 5ml",1,NA,Miscellaneous items
FD632100,"Humastar 180 bilirubin total and direct, 100ml",1,NA,Miscellaneous items
FD632200,"Humastar 180 cholesterol, 100ml",1,NA,Miscellaneous items
FD632300,"Humastar 180 GGT, 10ml",1,NA,Miscellaneous items
FD632400,"Humastar 180 glucose, 100ml",1,NA,Miscellaneous items
FD632500,"Humastar 180 Pancrease-amylase, 20ml",1,NA,Miscellaneous items
FD632600,Humastar 180 Serum caps,1,NA,Miscellaneous items
FD632700,"Humastar 180 SGOT (ALT), 10ml",1,NA,Miscellaneous items
FD632800,"Humastar 180 SGPT (AST), 10ml",1,NA,Miscellaneous items
FD632900,"Humastar 180 total bilirubin , 275ml",1,NA,Miscellaneous items
FD633000,"Humastar 180 Total protein, 100ml",1,NA,Miscellaneous items
FD633100,"Humastar 180 Trygericerides, 100ml",1,NA,Miscellaneous items
FD633200,"Humastar 180 Urea, 100ml",1,NA,Miscellaneous items
FD633300,"Humastar 180 Uric acid, 100ml",1,NA,Miscellaneous items
FD633400,"Humastar 180 wash additive, 25ml",1,NA,Miscellaneous items
FD633500,"Humatrol N, 5ml",1,NA,Miscellaneous items
FD633600,"Humatrol P,5ml",1,NA,Miscellaneous items
FD633700,"keylab amylase, 40ml",1,NA,Miscellaneous items
FD633800,"keylab bilirubin direct, 40ml",1,NA,Miscellaneous items
FD633900,"keylab bilirubin total, 40ml",1,NA,Miscellaneous items
FD634000,keylab carroussel,1,NA,Miscellaneous items
FD634100,"keylab cholesterol, 40ml",1,NA,Miscellaneous items
FD634200,"keylab Chrolide, 40ml",1,NA,Miscellaneous items
FD634300,"keylab CK MB, 2.5ml",1,NA,Miscellaneous items
FD634400,"keylab Control normal, 5ml",1,NA,Miscellaneous items
FD634500,"keylab control pathological, 5ml",1,NA,Miscellaneous items
FD634600,"keylab extra cleaning, 250ml",1,NA,Miscellaneous items
FD634700,"keylab GGT, 40ml",1,NA,Miscellaneous items
FD634800,"keylab Glucose, 40ml",1,NA,Miscellaneous items
FD634900,"keylab GOT, 40ml",1,NA,Miscellaneous items
FD635000,"keylab GPT, 40ml",1,NA,Miscellaneous items
FD635100,"keylab IPO cleaning, 250ml",1,NA,Miscellaneous items
FD635200,"keylab potassium, 40ml",1,NA,Miscellaneous items
FD635300,"keylab Sodium, 40ml",1,NA,Miscellaneous items
FD635400,"keylab Total protein, 40ml",1,NA,Miscellaneous items
FD635500,"keylab Triglyceride, 40ml",1,NA,Miscellaneous items
FD635600,"KEYLAB uric acid, 40ml",1,NA,Miscellaneous items
FD635700,"keylabserum cups, pack",1,NA,Miscellaneous items
FD635800,"Kovac's reagent, 100ml",1,NA,Miscellaneous items
FD635900,"Leishman's buffer ampoules, 10 ml",1,NA,Miscellaneous items
FD636000,Metronidazole 50mcg discs,1,NA,Miscellaneous items
FD636100,"Mindray BC 5500 M50 Cleanset, 1L",1,NA,Miscellaneous items
FD636200,"Mindray BC 5500 M50 LBA lyse, 1L",1,NA,Miscellaneous items
FD636300,"Mindray BC 5500 M50 LEO 1 lyse, 1L",1,NA,Miscellaneous items
FD636400,"Mindray BC 5500 M50 LEO 2 lyse, 500ml",1,NA,Miscellaneous items
FD636500,"Mindray BC 5500 M50 LH Lyse, 500ml",1,NA,Miscellaneous items
FD636600,"Mindray BC 5500 M50P Probe cleanser, 50ml",1,NA,Miscellaneous items
FD636700,Nalidixic acid discs,1,NA,Miscellaneous items
FD636800,"Nitrofurantoin 300mcg discs, pack 50",1,NA,Miscellaneous items
FD636900,"Norfloxacin disc 5mcg discs, pack 50",1,NA,Miscellaneous items
FD637000,"Norfloxacin disc 5mg, pack 50",1,NA,Miscellaneous items
FD637100,"Phosphorus test kit-Human, 100ml",1,NA,Miscellaneous items
FD637200,PP container. with spooon and screw ceo. 25ml,1,NA,Miscellaneous items
FD637300,Toluene-low in sulphur-99% min GRG,1,NA,Miscellaneous items
FD650000,Barium sulphate disposable eneme 93%. 400g,1,NA,Miscellaneous items
FD650100,Developer for Automatic Process,1,NA,Miscellaneous items
FD650200,"Fixer for automatic process, 5l",1,NA,Miscellaneous items
FD650300,Iopamidol 300mg/ml 10ml,1,NA,Miscellaneous items
FD650400,Sodium + Magluminediatrizoate (urografin)76%,1,NA,Miscellaneous items
FD650500,"Ultrasound Jel, 5L",1,NA,Miscellaneous items
FD650600,Sodium+Magluminediatrizote (Gastrografin),1,NA,Miscellaneous items
FD650700,Lead x-ray protective skirt up to 0.50mm equivalent with ha,1,NA,Miscellaneous items
FD650800,Battery powered Densitometer (X-Rite 331),1,NA,Miscellaneous items
FD650900,"Curix screen cleaner, 500ml bottle",1,NA,Miscellaneous items
FD651000,24cm x 30cm stationary parallel grid (40 strips per centimet,1,NA,Miscellaneous items
FD651100,35cm x 35cm stationary parallel grid (40 strips per centimet,1,NA,Miscellaneous items
FD651200,35cm x 43cm stationary parallel grid (40 strips per centimet,1,NA,Miscellaneous items
FD651300,AP/PA clip-on anatomical Metal markersLeft and right,1,NA,Miscellaneous items
FD651400,AP/PA floating markersLeft and right,1,NA,Miscellaneous items
FD651600,"Barium sulphate disposable enema 92%, 400g",1,NA,Miscellaneous items
FD651700,"Barium sulphate for suspension, 95%, w/w 300g",1,NA,Miscellaneous items
FD651800,Battery powered Sensitometer (X-Rite 396),1,NA,Miscellaneous items
FD651900,Box viewing (area 35cm x 43cm),1,NA,Miscellaneous items
FD652000,"Cassette with monochromatic intensifying screen, B400, 18cm",1,NA,Miscellaneous items
FD652100,"Cassette with monochromatic intensifying screen, B400, 24cm",1,NA,Miscellaneous items
FD652200,"Cassette with monochromatic intensifying screen, B400, 35cm",1,NA,Miscellaneous items
FD652300,"Cassette with monochromatic intensifying screen, B400, 35cm",1,NA,Miscellaneous items
FD652400,"Cassette with monochromatic intensifying screen, B800, 24cm",1,NA,Miscellaneous items
FD652500,"Cassette with monochromatic intensifying screen, B800, 35cm",1,NA,Miscellaneous items
FD652600,"Effervescent agent Granules, 25g satchet",1,NA,Miscellaneous items
FD652700,Effervescent agent solution,1,NA,Miscellaneous items
FD652800,Gonadol shiled female adult,1,NA,Miscellaneous items
